deployment_code,deployment_code,,deployment_code_yyyymmdd,,,,,,deployment_code
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20230316_ADRIFT_055,,SWFSC_HUM_20230316_ADRIFT_055,ADRIFT,055,ADRIFT_055,,,SWFSC_HUM_20230316_ADRIFT_055
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20230316_ADRIFT_057,,SWFSC_HUM_20230316_ADRIFT_057,ADRIFT,057,ADRIFT_057,,,SWFSC_HUM_20230316_ADRIFT_057
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230413_ADRIFT_058,,SWFSC_ORE_20230413_ADRIFT_058,ADRIFT,058,ADRIFT_058,,,SWFSC_ORE_20230413_ADRIFT_058
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230413_ADRIFT_059,,SWFSC_ORE_20230413_ADRIFT_059,ADRIFT,059,ADRIFT_059,,,SWFSC_ORE_20230413_ADRIFT_059
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230413_ADRIFT_060,,SWFSC_ORE_20230413_ADRIFT_060,ADRIFT,060,ADRIFT_060,,,SWFSC_ORE_20230413_ADRIFT_060
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230413_ADRIFT_061,,SWFSC_ORE_20230413_ADRIFT_061,ADRIFT,061,ADRIFT_061,,,SWFSC_ORE_20230413_ADRIFT_061
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230426_ADRIFT_062,,SWFSC_ORE_20230426_ADRIFT_062,ADRIFT,062,ADRIFT_062,,,SWFSC_ORE_20230426_ADRIFT_062
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230426_ADRIFT_063,,SWFSC_ORE_20230426_ADRIFT_063,ADRIFT,063,ADRIFT_063,,,SWFSC_ORE_20230426_ADRIFT_063
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230426_ADRIFT_064,,SWFSC_ORE_20230426_ADRIFT_064,ADRIFT,064,ADRIFT_064,,,SWFSC_ORE_20230426_ADRIFT_064
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230426_ADRIFT_065,,SWFSC_ORE_20230426_ADRIFT_065,ADRIFT,065,ADRIFT_065,,,SWFSC_ORE_20230426_ADRIFT_065
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_SFB_20230508_ADRIFT_067,,SWFSC_SFB_20230508_ADRIFT_067,ADRIFT,067,ADRIFT_067,,,SWFSC_SFB_20230508_ADRIFT_067
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20230507_ADRIFT_068,,SWFSC_HUM_20230507_ADRIFT_068,ADRIFT,068,ADRIFT_068,,,SWFSC_HUM_20230507_ADRIFT_068
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20230507_ADRIFT_070,,SWFSC_HUM_20230507_ADRIFT_070,ADRIFT,070,ADRIFT_070,,,SWFSC_HUM_20230507_ADRIFT_070
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20230507_ADRIFT_071,,SWFSC_HUM_20230507_ADRIFT_071,ADRIFT,071,ADRIFT_071,,,SWFSC_HUM_20230507_ADRIFT_071
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230517_ADRIFT_072,,SWFSC_ORE_20230517_ADRIFT_072,ADRIFT,072,ADRIFT_072,,,SWFSC_ORE_20230517_ADRIFT_072
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230517_ADRIFT_073,,SWFSC_ORE_20230517_ADRIFT_073,ADRIFT,073,ADRIFT_073,,,SWFSC_ORE_20230517_ADRIFT_073
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230517_ADRIFT_074,,SWFSC_ORE_20230517_ADRIFT_074,ADRIFT,074,ADRIFT_074,,,SWFSC_ORE_20230517_ADRIFT_074
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230517_ADRIFT_075,,SWFSC_ORE_20230517_ADRIFT_075,ADRIFT,075,ADRIFT_075,,,SWFSC_ORE_20230517_ADRIFT_075
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230717_ADRIFT_077,,SWFSC_ORE_20230717_ADRIFT_077,ADRIFT,077,ADRIFT_077,,,SWFSC_ORE_20230717_ADRIFT_077
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230717_ADRIFT_078,,SWFSC_ORE_20230717_ADRIFT_078,ADRIFT,078,ADRIFT_078,,,SWFSC_ORE_20230717_ADRIFT_078
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20230711_ADRIFT_079,,SWFSC_MBY_20230711_ADRIFT_079,ADRIFT,079,ADRIFT_079,,,SWFSC_MBY_20230711_ADRIFT_079
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20230711_ADRIFT_080,,SWFSC_MBY_20230711_ADRIFT_080,ADRIFT,080,ADRIFT_080,,,SWFSC_MBY_20230711_ADRIFT_080
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20230711_ADRIFT_081,,SWFSC_MBY_20230711_ADRIFT_081,ADRIFT,081,ADRIFT_081,,,SWFSC_MBY_20230711_ADRIFT_081
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20230711_ADRIFT_082,,SWFSC_MBY_20230711_ADRIFT_082,ADRIFT,082,ADRIFT_082,,,SWFSC_MBY_20230711_ADRIFT_082
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20230711_ADRIFT_083,,SWFSC_MBY_20230711_ADRIFT_083,ADRIFT,083,ADRIFT_083,,,SWFSC_MBY_20230711_ADRIFT_083
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230804_ADRIFT_085,,SWFSC_ORE_20230804_ADRIFT_085,ADRIFT,085,ADRIFT_085,,,SWFSC_ORE_20230804_ADRIFT_085
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230804_ADRIFT_086,,SWFSC_ORE_20230804_ADRIFT_086,ADRIFT,086,ADRIFT_086,,,SWFSC_ORE_20230804_ADRIFT_086
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230804_ADRIFT_087,,SWFSC_ORE_20230804_ADRIFT_087,ADRIFT,087,ADRIFT_087,,,SWFSC_ORE_20230804_ADRIFT_087
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20230825_ADRIFT_088,,SWFSC_HUM_20230825_ADRIFT_088,ADRIFT,088,ADRIFT_088,,,SWFSC_HUM_20230825_ADRIFT_088
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20230825_ADRIFT_089,,SWFSC_HUM_20230825_ADRIFT_089,ADRIFT,089,ADRIFT_089,,,SWFSC_HUM_20230825_ADRIFT_089
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20230825_ADRIFT_090,,SWFSC_HUM_20230825_ADRIFT_090,ADRIFT,090,ADRIFT_090,,,SWFSC_HUM_20230825_ADRIFT_090
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20230825_ADRIFT_091,,SWFSC_HUM_20230825_ADRIFT_091,ADRIFT,091,ADRIFT_091,,,SWFSC_HUM_20230825_ADRIFT_091
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_SFB_20230917_ADRIFT_092,,SWFSC_SFB_20230917_ADRIFT_092,ADRIFT,092,ADRIFT_092,,,SWFSC_SFB_20230917_ADRIFT_092
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20231005_ADRIFT_097,,SWFSC_HUM_20231005_ADRIFT_097,ADRIFT,097,ADRIFT_097,,,SWFSC_HUM_20231005_ADRIFT_097
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20231005_ADRIFT_098,,SWFSC_HUM_20231005_ADRIFT_098,ADRIFT,098,ADRIFT_098,,,SWFSC_HUM_20231005_ADRIFT_098
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20231005_ADRIFT_099,,SWFSC_HUM_20231005_ADRIFT_099,ADRIFT,099,ADRIFT_099,,,SWFSC_HUM_20231005_ADRIFT_099
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20231005_ADRIFT_100,,SWFSC_HUM_20231005_ADRIFT_100,ADRIFT,100,ADRIFT_100,,,SWFSC_HUM_20231005_ADRIFT_100
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20231106_ADRIFT_101,,SWFSC_MBY_20231106_ADRIFT_101,ADRIFT,101,ADRIFT_101,,,SWFSC_MBY_20231106_ADRIFT_101
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20231106_ADRIFT_102,,SWFSC_MBY_20231106_ADRIFT_102,ADRIFT,102,ADRIFT_102,,,SWFSC_MBY_20231106_ADRIFT_102
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20231106_ADRIFT_103,,SWFSC_MBY_20231106_ADRIFT_103,ADRIFT,103,ADRIFT_103,,,SWFSC_MBY_20231106_ADRIFT_103
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20231106_ADRIFT_104,,SWFSC_MBY_20231106_ADRIFT_104,ADRIFT,104,ADRIFT_104,,,SWFSC_MBY_20231106_ADRIFT_104
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20231106_ADRIFT_105,,SWFSC_MBY_20231106_ADRIFT_105,ADRIFT,105,ADRIFT_105,,,SWFSC_MBY_20231106_ADRIFT_105
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20231106_ADRIFT_106,,SWFSC_MBY_20231106_ADRIFT_106,ADRIFT,106,ADRIFT_106,,,SWFSC_MBY_20231106_ADRIFT_106
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20231106_ADRIFT_107,,SWFSC_MBY_20231106_ADRIFT_107,ADRIFT,107,ADRIFT_107,,,SWFSC_MBY_20231106_ADRIFT_107
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20231106_ADRIFT_108,,SWFSC_MBY_20231106_ADRIFT_108,ADRIFT,108,ADRIFT_108,,,SWFSC_MBY_20231106_ADRIFT_108
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20180725_CCES_004,,SWFSC_HUM_20180725_CCES_004,CCES,004,CCES_004,,,SWFSC_HUM_20180725_CCES_004
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20180805_CCES_007,,SWFSC_HUM_20180805_CCES_007,CCES,007,CCES_007,,,SWFSC_HUM_20180805_CCES_007
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20180816_CCES_008,,SWFSC_HUM_20180816_CCES_008,CCES,008,CCES_008,,,SWFSC_HUM_20180816_CCES_008
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_PTA_20180822_CCES_010,,SWFSC_PTA_20180822_CCES_010,CCES,010,CCES_010,,,SWFSC_PTA_20180822_CCES_010
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MOB_20180830_CCES_012,,SWFSC_MOB_20180830_CCES_012,CCES,012,CCES_012,,,SWFSC_MOB_20180830_CCES_012
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_CHI_20180911_CCES_013,,SWFSC_CHI_20180911_CCES_013,CCES,013,CCES_013,,,SWFSC_CHI_20180911_CCES_013
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_BCN_20181005_CCES_014,,SWFSC_BCN_20181005_CCES_014,CCES,014,CCES_014,,,SWFSC_BCN_20181005_CCES_014
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_BCN_20181030_CCES_016,,SWFSC_BCN_20181030_CCES_016,CCES,016,CCES_016,,,SWFSC_BCN_20181030_CCES_016
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_BCN_20181031_CCES_017,,SWFSC_BCN_20181031_CCES_017,CCES,017,CCES_017,,,SWFSC_BCN_20181031_CCES_017
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_BCN_20181031_CCES_018,,SWFSC_BCN_20181031_CCES_018,CCES,018,CCES_018,,,SWFSC_BCN_20181031_CCES_018
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_BCN_20181101_CCES_019,,SWFSC_BCN_20181101_CCES_019,CCES,019,CCES_019,,,SWFSC_BCN_20181101_CCES_019
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_BCN_20181105_CCES_020,,SWFSC_BCN_20181105_CCES_020,CCES,020,CCES_020,,,SWFSC_BCN_20181105_CCES_020
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_BCN_20181106_CCES_021,,SWFSC_BCN_20181106_CCES_021,CCES,021,CCES_021,,,SWFSC_BCN_20181106_CCES_021
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_BCN_20181107_CCES_022,,SWFSC_BCN_20181107_CCES_022,CCES,022,CCES_022,,,SWFSC_BCN_20181107_CCES_022
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_BCN_20181122_CCES_023,,SWFSC_BCN_20181122_CCES_023,CCES,023,CCES_023,,,SWFSC_BCN_20181122_CCES_023
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20160819_PASCAL_001,,SWFSC_ORE_20160819_PASCAL_001,PASCAL,001,PASCAL_001,,,SWFSC_ORE_20160819_PASCAL_001
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20160821_PASCAL_002,,SWFSC_HUM_20160821_PASCAL_002,PASCAL,002,PASCAL_002,,,SWFSC_HUM_20160821_PASCAL_002
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MND_20160821_PASCAL_003,,SWFSC_MND_20160821_PASCAL_003,PASCAL,003,PASCAL_003,,,SWFSC_MND_20160821_PASCAL_003
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20160822_PASCAL_004,,SWFSC_MBY_20160822_PASCAL_004,PASCAL,004,PASCAL_004,,,SWFSC_MBY_20160822_PASCAL_004
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_CHI_20160822_PASCAL_005,,SWFSC_CHI_20160822_PASCAL_005,PASCAL,005,PASCAL_005,,,SWFSC_CHI_20160822_PASCAL_005
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_BCN_20160824_PASCAL_006,,SWFSC_BCN_20160824_PASCAL_006,PASCAL,006,PASCAL_006,,,SWFSC_BCN_20160824_PASCAL_006
