organization_code,deployment_code,recording_code,recording_device_codes,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_redacted,recording_json,recording_uri,recording_comments
SWFSC,SWFSC_NEPAC_20241123_CALCURCEAS_027,SOUNDTRAP_RECORDING,"SOUNDTRAP_7950,HTI_856139,HTI_856148",2024-11-23T16:00:02Z,2024-12-03T06:17:03Z,360,360,384,16,1,2,WAV,UTC,2024-11-23T16:00:02Z,2024-12-03T06:17:03Z,0.1,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_027,
SWFSC,SWFSC_ORE_20160819_PASCAL_001,SOUNDTRAP_RECORDING,"SOUNDTRAP_8505,HTI_856052,HTI_856063",2016-08-20T02:20:07Z,2016-08-31T14:42:00Z,120,600,288,16,1,2,WAV,UTC,2016-08-20T02:20:07Z,2016-08-31T14:42:00Z,0.25,144,COMPROMISED,,100,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_001,
SWFSC,SWFSC_ORE_20160828_PASCAL_011,SM2BAT_RECORDINGS,"SOUNDTRAP_SM2BAT_2,HTI_856019,HTI_856023",2016-08-28T12:44:00Z,2016-09-17T04:18:00Z,120,240,192,16,1,2,WAV,UTC,2016-08-28T12:44:00Z,2016-09-17T04:18:00Z,0.25,96,COMPROMISED,,100,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_011,
SWFSC,SWFSC_ORE_20160831_PASCAL_015,SOUNDTRAP_RECORDING,"SOUNDTRAP_8025,HTI_856055,HTI_856066",2016-08-31T07:11:38Z,2016-09-05T04:48:42Z,120,120,288,16,1,2,WAV,UTC,2016-08-31T07:11:38Z,2016-09-05T04:48:42Z,0.024,144,GOOD,,100,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_015,
SWFSC,SWFSC_ORE_20230316_ADRIFT_042,SOUNDTRAP_RECORDING,"SOUNDTRAP_5296,HTI_856163,HTI_856171",2023-03-16T19:29:57Z,2023-03-21T00:44:35Z,1350,1350,384,16,1,2,WAV,UTC,2023-03-16T19:29:57Z,2023-03-21T00:44:35Z,0.25,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_042,
SWFSC,SWFSC_ORE_20230316_ADRIFT_043,SOUNDTRAP_RECORDING,"SOUNDTRAP_5986,HTI_856159,HTI_856177",2023-03-16T18:52:27Z,2023-03-20T08:53:16Z,1350,1350,384,16,1,2,WAV,UTC,2023-03-16T18:52:27Z,2023-03-20T08:53:16Z,0.05,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_043,
SWFSC,SWFSC_ORE_20230316_ADRIFT_044,SOUNDTRAP_RECORDING,"SOUNDTRAP_5991,HTI_856136,HTI_856145",2023-03-16T20:14:58Z,2023-03-20T21:11:29Z,1350,1350,384,16,1,2,WAV,UTC,2023-03-16T20:14:58Z,2023-03-20T21:11:29Z,0.075,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_044,
SWFSC,SWFSC_ORE_20230316_ADRIFT_045,SOUNDTRAP_RECORDING,"SOUNDTRAP_5994,HTI_856138,HTI_856151",2023-03-16T18:59:58Z,2023-03-20T11:40:17Z,1350,1350,384,16,1,2,WAV,UTC,2023-03-16T18:59:58Z,2023-03-20T11:40:17Z,0.05,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_045,
SWFSC,SWFSC_ORE_20230413_ADRIFT_058,SOUNDTRAP_RECORDING,"SOUNDTRAP_5296,HTI_856163,HTI_856171",2023-04-13T07:49:55Z,2023-04-16T17:09:46Z,1350,1350,384,16,1,2,WAV,UTC,2023-04-13T07:49:55Z,2023-04-16T17:09:46Z,1.5,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_058,
SWFSC,SWFSC_ORE_20230413_ADRIFT_059,SOUNDTRAP_RECORDING,"SOUNDTRAP_5986,HTI_856159,HTI_856177",2023-04-13T06:15:12Z,2023-04-16T18:18:58Z,1350,1350,384,16,1,2,WAV,UTC,2023-04-13T06:15:12Z,2023-04-16T18:18:58Z,0.1,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_059,
SWFSC,SWFSC_ORE_20230413_ADRIFT_060,SOUNDTRAP_RECORDING,"SOUNDTRAP_5991,HTI_856136,HTI_856145",2023-04-13T06:58:22Z,2023-04-16T18:13:06Z,1350,1350,384,16,1,2,WAV,UTC,2023-04-13T06:58:22Z,2023-04-16T18:13:06Z,0.075,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_060,
SWFSC,SWFSC_ORE_20230413_ADRIFT_061,SOUNDTRAP_RECORDING,"SOUNDTRAP_5994,HTI_856138,HTI_856151",2023-04-13T05:14:02Z,2023-04-16T18:56:45Z,1350,1350,384,16,1,2,WAV,UTC,2023-04-13T05:14:02Z,2023-04-16T18:56:45Z,0.73,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_061,
SWFSC,SWFSC_ORE_20230426_ADRIFT_062,SOUNDTRAP_RECORDING,"SOUNDTRAP_5296,HTI_856163,HTI_856171",2023-04-26T03:37:21Z,2023-04-29T05:28:54Z,1350,1350,384,16,1,2,WAV,UTC,2023-04-26T03:37:21Z,2023-04-29T05:28:54Z,0.25,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_062,
SWFSC,SWFSC_ORE_20230426_ADRIFT_063,SOUNDTRAP_RECORDING,"SOUNDTRAP_5986,HTI_856159,HTI_856177",2023-04-26T03:03:33Z,2023-04-29T03:44:57Z,1350,1350,384,16,1,2,WAV,UTC,2023-04-26T03:03:33Z,2023-04-29T03:44:57Z,0.25,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_063,
SWFSC,SWFSC_ORE_20230426_ADRIFT_064,SOUNDTRAP_RECORDING,"SOUNDTRAP_5991,HTI_856136,HTI_856145",2023-04-26T02:06:08Z,2023-04-29T07:20:35Z,1350,1350,384,16,1,2,WAV,UTC,2023-04-26T02:06:08Z,2023-04-29T07:20:35Z,0.7,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_064,
SWFSC,SWFSC_ORE_20230426_ADRIFT_065,SOUNDTRAP_RECORDING,"SOUNDTRAP_5994,HTI_856138,HTI_856151",2023-04-26T02:59:55Z,2023-04-29T06:47:58Z,1350,1350,384,16,1,2,WAV,UTC,2023-04-26T02:59:55Z,2023-04-29T06:47:58Z,1,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_065,
SWFSC,SWFSC_ORE_20230517_ADRIFT_072,SOUNDTRAP_RECORDING,"SOUNDTRAP_5296,HTI_856163,HTI_856171",2023-05-17T18:13:55Z,2023-05-23T13:36:52Z,1350,1350,384,16,1,2,WAV,UTC,2023-05-17T18:13:55Z,2023-05-23T13:36:52Z,0.05,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_072,
