"Id","Latitude","Longitude","UTC","DeviceName","DeviceId","Message","recordingEffort","knots","DriftName","DeploymentSite"
3508113157,28.9164,-116.36659,2018-11-09 17:44:29,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.290363382016761,"CCES_022","BCN"
3508113158,28.91669,-116.36634,2018-11-09 17:45:30,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.303505473473873,"CCES_022","BCN"
3508113159,28.91845,-116.36514,2018-11-09 18:15:30,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.245168424566263,"CCES_022","BCN"
3508113160,28.92041,-116.36356,2018-11-09 18:47:28,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.26938106639255,"CCES_022","BCN"
3508113161,28.9223,-116.36208,2018-11-09 19:18:06,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.268495496614411,"CCES_022","BCN"
3508113162,28.92372,-116.36116,2018-11-09 19:47:28,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.199458019354894,"CCES_022","BCN"
3508113163,28.9247,-116.36059,2018-11-09 20:10:30,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.241414131616253,"CCES_022","BCN"
3508113164,28.9248,-116.36053,2018-11-09 20:14:51,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.158865544716378,"CCES_022","BCN"
3508113165,28.92582,-116.36008,2018-11-09 20:40:30,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.144126116596612,"CCES_022","BCN"
3508113166,28.92592,-116.35995,2018-11-09 20:46:36,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.13891701079138,"CCES_022","BCN"
3508113167,28.92681,-116.35965,2018-11-09 21:10:30,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.126600273634231,"CCES_022","BCN"
3508113168,28.92704,-116.35944,2018-11-09 21:16:36,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.144125905786573,"CCES_022","BCN"
3508113169,28.9283,-116.35889,2018-11-09 21:44:47,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.171622610596384,"CCES_022","BCN"
3508113170,28.92987,-116.35831,2018-11-09 22:16:42,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.185358148516027,"CCES_022","BCN"
3508113171,28.93142,-116.35748,2018-11-09 22:44:05,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.224228967796404,"CCES_022","BCN"
3508113172,28.93275,-116.35667,2018-11-09 23:10:09,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.194466520680094,"CCES_022","BCN"
3508113173,28.933,-116.35658,2018-11-09 23:14:07,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.210875422769756,"CCES_022","BCN"
3508113174,28.93457,-116.35567,2018-11-09 23:42:29,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.224046986672294,"CCES_022","BCN"
3508113175,28.93481,-116.35545,2018-11-09 23:47:34,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.221233688924412,"CCES_022","BCN"
3508113176,28.93605,-116.3545,2018-11-10 00:13:18,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.209634715356728,"CCES_022","BCN"
3508113177,28.93647,-116.35423,2018-11-10 00:15:53,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.250165289687432,"CCES_022","BCN"
