organization_code,deployment_code,analysis_code,recording_codes,analysis_sound_source_codes,analysis_granularity_code,analysis_start_datetime,analysis_end_datetime,analysis_sample_rate_khz,analysis_min_frequency_khz,analysis_max_frequency_khz,analysis_processing_code,analysis_quality_code,analysis_protocol_reference,analysis_dataset_url,analysis_release_data,analysis_release_pacm,detector_codes,analysis_citation_codes,detector_version,detector_json,detector_output_filename,detector_output_uri,analysis_analysts,analysis_json,analysis_comments
SWFSC,SWFSC_HUM_20231005_ADRIFT_100,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2023-10-05T23:53:58+0000,2023-10-07T00:23:58+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_MBY_20160822_PASCAL_004,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-08-22T00:28:27+0000,2016-09-03T19:14:33+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_MBY_20160827_PASCAL_009,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING_1436,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-08-27T00:22:14+0000,2016-09-15T13:04:14+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_MBY_20160903_PASCAL_018,BEAKED_ANALYSIS,SM2BAT_RECORDINGS,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-09-03T05:32:00+0000,2016-09-22T11:50:00+0000,192.0,0.0,192.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_MBY_20220621_ADRIFT_019,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2022-06-21T16:15:00+0000,2022-06-25T22:14:42+0000,384.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_MBY_20220621_ADRIFT_020,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2022-06-21T16:45:00+0000,2022-06-25T17:52:13+0000,384.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_MBY_20220621_ADRIFT_021,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2022-06-21T17:07:29+0000,2022-06-25T18:37:12+0000,384.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_MBY_20220621_ADRIFT_022,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2022-06-21T17:37:30+0000,2022-06-25T16:52:16+0000,384.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_MBY_20220621_ADRIFT_023,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2022-06-21T18:52:29+0000,2022-06-25T21:29:41+0000,384.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_MBY_20220621_ADRIFT_024,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2022-06-21T19:29:59+0000,2022-06-25T20:14:42+0000,384.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
