organization_code,deployment_code,recording_device_codes,recording_code,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_device_calibration_state_code,recording_redacted,recording_ncei_archived,recording_json,recording_uri,recording_calibration_uri,recording_comments
SWFSC,SWFSC_HUM_20221116_ADRIFT_038,"HTI_856176,HTI_856161,SOUNDTRAP_5987",SOUNDTRAP_RECORDING,2022-11-16T19:14:57+0000,2022-11-20T03:29:42+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2022-11-16T19:14:57+0000,2022-11-20T03:29:42+0000,0.05,192.0,GOOD,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_038,,
SWFSC,SWFSC_HUM_20221213_ADRIFT_039,"SOUNDTRAP_5984,HTI_856155,HTI_856166",SOUNDTRAP_RECORDING,2022-12-13T21:29:57+0000,2022-12-16T20:22:14+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2022-12-13T21:29:57+0000,2022-12-16T20:22:14+0000,1.0,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_039,,
SWFSC,SWFSC_HUM_20221213_ADRIFT_040,"HTI_856162,HTI_856168",SOUNDTRAP_RECORDING,2022-12-13T21:29:57+0000,2022-12-16T21:29:49+0000,1350.0,1350.0,288.0,16,1,2,WAV,UTC,2022-12-13T21:29:57+0000,2022-12-16T21:29:49+0000,0.25,192.0,GOOD,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_040,,
SWFSC,SWFSC_HUM_20221213_ADRIFT_041,"HTI_856176,HTI_856161,SOUNDTRAP_5987",SOUNDTRAP_RECORDING,2022-12-13T21:52:27+0000,2022-12-16T22:37:14+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2022-12-13T21:52:27+0000,2022-12-16T22:37:14+0000,0.25,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_041,,
SWFSC,SWFSC_HUM_20230316_ADRIFT_054,"SOUNDTRAP_5984,HTI_856155,HTI_856166",SOUNDTRAP_RECORDING,2023-03-16T18:29:57+0000,2023-03-18T16:59:48+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2023-03-16T18:29:57+0000,2023-03-18T16:59:48+0000,0.25,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_054,,
SWFSC,SWFSC_HUM_20230316_ADRIFT_055,"HTI_856161,HTI_856176",SOUNDTRAP_RECORDING,2023-03-16T18:29:57+0000,2023-03-18T17:29:52+0000,1350.0,1350.0,288.0,16,1,2,WAV,UTC,2023-03-16T18:29:57+0000,2023-03-18T17:29:52+0000,0.25,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_055,,
SWFSC,SWFSC_HUM_20230316_ADRIFT_057,"HTI_856168,HTI_856162,SOUNDTRAP_5992",SOUNDTRAP_RECORDING,2023-03-16T19:14:57+0000,2023-03-18T16:59:48+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2023-03-16T19:14:57+0000,2023-03-18T16:59:48+0000,1.0,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_057,,
SWFSC,SWFSC_HUM_20230507_ADRIFT_068,"HTI_856155,SOUNDTRAP_5992,HTI_856166",SOUNDTRAP_RECORDING,2023-05-07T00:29:57+0000,2023-05-09T16:14:48+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2023-05-07T00:29:57+0000,2023-05-09T16:14:48+0000,0.25,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_068,,
SWFSC,SWFSC_HUM_20230507_ADRIFT_070,"SOUNDTRAP_5984,HTI_856156,HTI_856167",SOUNDTRAP_RECORDING,2023-05-07T00:52:27+0000,2023-05-09T17:44:46+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2023-05-07T00:52:27+0000,2023-05-09T17:44:46+0000,0.05,192.0,GOOD,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_070,,
SWFSC,SWFSC_HUM_20230507_ADRIFT_071,"HTI_856162,HTI_856168",SOUNDTRAP_RECORDING,2023-05-07T00:59:58+0000,2023-05-09T17:59:47+0000,1350.0,1350.0,288.0,16,1,2,WAV,UTC,2023-05-07T00:59:58+0000,2023-05-09T17:59:47+0000,0.25,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_071,,
SWFSC,SWFSC_HUM_20230825_ADRIFT_088,"HTI_856155,SOUNDTRAP_5992,HTI_856166",SOUNDTRAP_RECORDING,2023-08-25T17:29:58+0000,2023-08-28T20:23:59+0000,360.0,360.0,384.0,16,1,2,WAV,UTC,2023-08-25T17:29:58+0000,2023-08-28T20:23:59+0000,0.25,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_088,,
SWFSC,SWFSC_HUM_20230825_ADRIFT_089,"HTI_856176,HTI_856161,SOUNDTRAP_5990",SOUNDTRAP_RECORDING,2023-08-25T17:17:58+0000,2023-08-26T18:23:58+0000,360.0,360.0,384.0,16,1,2,WAV,UTC,2023-08-25T17:17:58+0000,2023-08-26T18:23:58+0000,0.05,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_089,,
SWFSC,SWFSC_HUM_20230825_ADRIFT_090,"SOUNDTRAP_5984,HTI_856156,HTI_856167",SOUNDTRAP_RECORDING,2023-08-25T17:41:58+0000,2023-08-26T21:11:58+0000,360.0,360.0,384.0,16,1,2,WAV,UTC,2023-08-25T17:41:58+0000,2023-08-26T21:11:58+0000,0.05,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_090,,
SWFSC,SWFSC_HUM_20230825_ADRIFT_091,"HTI_856162,HTI_856168",SOUNDTRAP_RECORDING,2023-08-25T18:05:58+0000,2023-08-28T21:29:59+0000,360.0,360.0,288.0,16,1,2,WAV,UTC,2023-08-25T18:05:58+0000,2023-08-28T21:29:59+0000,0.05,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_091,,
SWFSC,SWFSC_HUM_20231005_ADRIFT_097,"HTI_856155,SOUNDTRAP_5992,HTI_856166",SOUNDTRAP_RECORDING,2023-10-05T23:29:58+0000,2023-10-06T23:23:58+0000,360.0,360.0,384.0,16,1,2,WAV,UTC,2023-10-05T23:29:58+0000,2023-10-06T23:23:58+0000,0.075,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_097,,
SWFSC,SWFSC_HUM_20231005_ADRIFT_098,"HTI_856176,HTI_856161,SOUNDTRAP_5990",SOUNDTRAP_RECORDING,2023-10-05T23:29:58+0000,2023-10-06T23:41:58+0000,360.0,360.0,384.0,16,1,2,WAV,UTC,2023-10-05T23:29:58+0000,2023-10-06T23:41:58+0000,0.08,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_098,,
